rc_number,company_name,registration_date,first_invoice_date,days_to_first_invoice,bank_account,address,invoice_amount,director_bvn,is_fraud
RC311292,Oshodi-Oshodi,2020-02-12,2020-02-17,5,DWUC33578556741929,"1735 Mary Squares Apt. 232
West Juliet, MP 79663",1732361.86,19349189293,0
RC194592,Oyekan-Nnamani,2023-08-18,2025-10-21,795,FHKM87701810163023,"9284 Obi Extensions Apt. 538
Charitychester, VT 06273",2170834.93,19052378305,0
RC120713,"Balogun, Eze and Abiola",2025-07-17,2025-12-16,152,MVOU66489614656140,"95625 Adeyemi Flats Suite 046
Maryton, WV 97545",393066.3,01133606972,0
RC753849,Ibrahim PLC,2021-03-09,2023-11-19,985,XNVR30873600983329,"2036 Comfort Grove
Hopeside, KS 86494",4260064.67,15135252163,0
RC706059,Adetokunbo-Oyekan,2024-06-28,2024-09-27,91,QQNE85554695786945,"187 Adetokunbo Avenue Apt. 519
Samueltown, AZ 45840",3030513.4,44174471257,0
RC381434,Abiola-Ibrahim,2024-06-03,2025-10-26,510,LPTY17358322296445,"USCGC Okonkwo
FPO AP 26877",1119742.53,40672034905,0
RC554201,Balogun PLC,2017-10-15,2023-07-13,2097,CNYL92332328201851,"791 Obi Mission
East Joyfort, UT 98589",4012641.62,87219838942,0
RC146366,Olawale-Adetokunbo,2021-02-28,2024-02-01,1068,ZFQW01247236825822,"87535 Deborah Bypass Apt. 657
Lake Charitymouth, ME 61383",339548.0,79585609329,0
RC495056,Uche-Uche,2022-08-30,2022-10-09,40,JQMC71001270009241,"428 Ekwueme Coves Apt. 187
New Agnesland, UT 30475",4510165.36,66867569862,0
RC631999,Abiola PLC,2022-08-11,2025-11-21,1198,COMC95723278940832,"71299 Balogun Lakes Apt. 757
Ezefurt, FM 03028",3916903.3,92932961027,0
RC487312,Ojo PLC,2020-09-11,2023-02-08,880,EEIK79046672788592,"11349 Ruth Crossing
Lake Comfort, LA 93753",4574125.51,27611813794,0
RC522354,"Obasanjo, Ogunleye and Olawale",2024-11-29,2025-02-20,83,DAOH05611957164294,"57134 Eze Plain
Ruthhaven, FL 10042",3924780.93,98915866577,0
RC515372,"Ogunleye, Oshodi and Olawale",2022-04-15,2022-04-17,2,KWWX04045976326295,"68824 Obi Key
East Blessingberg, MA 81701",2383757.49,81166500898,0
RC198701,"Nnamani, Oshodi and Okafor",2025-07-06,2026-04-19,287,SOCF04603085556982,"PSC 0874, Box 0578
APO AA 03178",3349185.3,90369165517,0
RC460339,"Ojo, Adeyemi and Ibrahim",2018-12-09,2024-04-25,1964,VLZN10892790056550,"9935 Philip Knolls
Lake Paulfurt, SD 01807",4710541.72,61339352635,0
RC442543,Eze and Sons,2025-03-21,2026-03-08,352,COEC80313275146177,"94139 Grace Spring Suite 832
Obiville, PR 14982",2468427.91,43947693361,0
RC127307,Oshodi-Ogunleye,2025-06-02,2026-03-02,273,QDCL74697086412599,"PSC 6991, Box 8795
APO AP 70855",936385.76,55673101122,0
RC293787,Chukwu PLC,2018-04-05,2022-09-24,1633,GTCH27035937986307,"133 Esther Walks Suite 897
Lake Joytown, MT 15171",4402488.1,22297130197,0
RC322852,Okonkwo Inc,2021-08-27,2022-07-15,322,LSJL97486999396218,"238 Chukwu Glens Apt. 243
Peacetown, LA 05023",4174840.75,32012489128,0
RC448644,Okafor-Olawale,2021-11-16,2022-08-15,272,COZI52068205380532,"908 Chukwu Pike Suite 761
Paulport, TN 95428",4503809.47,44851449727,0
RC459928,"Olawale, Oyekan and Akinwale",2022-05-09,2024-11-12,918,MYOS46883501690113,"8434 Eze Ford Suite 011
East Comfort, VI 22500",2216639.25,75191783946,0
RC888273,Abiola-Obi,2025-01-05,2025-07-03,179,MVPO57858844881606,"3328 Obi Freeway
South Mark, PR 85292",719282.5,75115903883,0
RC103004,Abiola-Adetokunbo,2025-03-14,2025-12-16,277,DSWU18169460621288,"30369 Joshua Views
East Blessingview, PR 83261",973960.02,04184024986,0
RC389671,Obasanjo-Oshodi,2021-08-28,2025-03-21,1301,XMQQ41126333459501,"96596 Ojo Plain Apt. 481
South John, RI 67769",1500956.46,99047989184,0
RC753629,Adetokunbo-Uche,2025-01-22,2025-09-29,250,ZXEV68716063527698,"2112 Charity Gardens
East Juliet, HI 22574",838115.86,33522401553,0
RC162127,Obasanjo-Ojo,2019-10-03,2020-03-17,166,NAON12242146328938,"899 Eze Trafficway
North Deborahtown, IL 50590",810201.23,77931901042,0
RC682107,Nnamani Inc,2019-08-11,2020-11-16,463,NZJK81136123656162,"01572 Oshodi Crossroad Apt. 001
East Andrew, TX 10439",2087643.73,61164315341,0
RC416198,Oyekan Group,2024-07-24,2024-12-03,132,YSDU84820791689573,"7812 Ogunleye Crescent Apt. 141
Stephenstad, AZ 80946",205998.31,47759648607,0
RC770701,Ibrahim-Oyekan,2018-01-16,2019-05-15,484,RSTS41069819499448,"60910 Ekwueme Parkways Apt. 694
Oshoditown, SD 23034",1681770.31,06568866201,0
RC274091,"Chukwu, Balogun and Eze",2023-06-26,2026-03-30,1008,VZWT22628597372508,"871 Obasanjo Spur Suite 069
Port Simon, GA 79103",4869467.17,23429950286,0
RC737607,Ogunleye-Chukwu,2023-01-24,2025-11-16,1027,PJJR91776175967506,"11061 Comfort Run
New Maryshire, DE 93618",3385115.91,75200700601,0
RC242875,Uche LLC,2021-04-24,2024-12-02,1318,FOPJ60451751182219,"048 Joseph Land
Michaelchester, WI 19375",4310475.06,90180663947,0
RC607829,Okonkwo-Balogun,2019-02-12,2019-04-20,67,NMJU26569138726932,"3451 Akinwale Cliffs Suite 169
South Sarahview, MN 80009",4475534.44,06866046739,0
RC582489,Ibrahim-Adetokunbo,2025-06-28,2026-04-17,293,KKEM81059545758734,"567 Esther Parks Suite 377
Johnberg, VT 74495",434296.15,05746593872,0
RC762560,"Okafor, Adetokunbo and Obi",2026-03-28,2026-04-12,15,QPKR73187376825810,"54345 Oyekan Glen Suite 178
East Esther, IN 56383",1836562.61,77497031918,0
RC952842,"Adetokunbo, Okafor and Okafor",2019-04-24,2023-08-04,1563,WZJN23819287867623,"798 Andrew Circle Suite 534
Stephentown, ND 60769",2475850.43,64033557231,0
RC330341,"Abiola, Ekwueme and Okonkwo",2024-05-21,2025-04-05,319,LLZT70168719405546,"540 Nathaniel Views Suite 317
Oshodiburgh, MT 30308",3165638.31,67581660476,0
RC302489,Chukwu-Nnamani,2023-11-13,2025-03-04,477,EQKZ70614351407358,"10636 Michael Fords
Gabrielfort, NH 37856",1529982.94,66620456804,0
RC511198,Oshodi-Okafor,2020-04-18,2020-06-07,50,CIFT24867379024642,"313 Adeyemi Road Suite 284
Okaformouth, VT 25107",1066928.54,92620753025,0
RC186240,"Nnamani, Ibrahim and Adeyemi",2022-12-15,2025-12-27,1108,TUZG04407706042834,"5637 Stephen Rapids Apt. 755
West Agnesberg, WY 94932",1626426.05,15886786257,0
RC230141,Chukwu Group,2017-04-25,2020-05-06,1107,VDVM21152185924336,"544 Victoria Mountain Suite 058
North Esther, MP 61760",961446.83,55129527958,0
RC918424,Ekwueme-Nnamani,2020-05-19,2025-06-29,1867,NPFT66764436627210,"474 Abiola Islands Suite 454
East Maryburgh, VT 96619",4537365.34,15293300416,0
RC376288,Olawale Group,2025-02-06,2025-06-27,141,RMHY66712213056728,"06805 Okonkwo Camp
Okaforside, CA 58783",1661686.4,01996627949,0
RC961725,Obasanjo Inc,2020-02-16,2025-10-01,2054,KXRF65729289887328,"842 Emmanuel Way Apt. 204
Ezeborough, SC 34695",2150329.13,54405137282,0
RC658179,Ogunleye PLC,2024-10-08,2024-10-30,22,GXEU15076893573145,"6338 Charity Springs
Julietton, GA 49862",4706062.08,02554960366,0
RC549789,Olawale-Chukwu,2024-02-15,2025-05-27,467,XAZS34861153766363,"661 Eze Junctions
Chukwubury, IL 14601",3248580.15,32750538964,0
RC676190,"Balogun, Obasanjo and Oshodi",2019-03-08,2021-09-26,933,BLEO83587018366866,"61142 Oshodi Plains
Nnamaniview, AL 95688",3116124.15,66630429050,0
RC723559,"Nnamani, Obi and Ibrahim",2022-11-25,2025-07-13,961,OGAO45509048719569,"0238 Adetokunbo Stravenue
Angelatown, SD 33064",1299144.57,42977020531,0
RC183620,Adeyemi Ltd,2022-07-28,2024-10-07,802,OBCT03286168271527,"0714 Cornelius Circle
Ibrahimbury, KS 64010",3671829.75,75722967559,0
RC602429,"Abiola, Adetokunbo and Okonkwo",2025-05-09,2026-01-27,263,PYIH00818014036523,"6587 Ruth Curve Apt. 070
North Gabriel, MA 59615",234187.17,40410431278,0
RC903189,Adetokunbo Ltd,2026-02-13,2026-04-16,62,DMET62554298574100,"40636 Obi Station
West Mary, DC 71324",58854.94,88474478299,0
RC283134,Adetokunbo LLC,2017-04-13,2025-01-06,2825,IYSX82405364252731,"1469 Olawale Junction Suite 540
Stephenview, SD 37030",406751.75,59651127410,0
RC182511,Akinwale-Adetokunbo,2021-10-21,2025-01-17,1184,OXYI30801319384108,"742 Peace Coves
Port Deborah, TX 76970",1619969.66,49912528972,0
RC641963,"Akinwale, Ojo and Okafor",2018-10-12,2021-01-12,823,DEWX99548261859298,"83743 Ogunleye Well Apt. 382
Andrewstad, WI 09925",2301911.91,24378461723,0
RC742985,"Ogunleye, Ojo and Balogun",2022-02-20,2022-12-16,299,IGPR87777033870095,"1372 Ekwueme Wall
North David, CO 92435",4914389.02,98618293280,0
RC230110,Uche-Nnamani,2022-01-21,2024-02-28,768,RXMS84514189671808,"824 Akinwale Fall
Deborahview, PW 01316",4246490.28,40917775206,0
RC584767,Olawale and Sons,2023-05-03,2023-06-03,31,BJNQ92346340149967,"9370 Balogun Plain Suite 712
Faithfort, VI 76061",697424.03,93678215698,0
RC515199,"Chukwu, Obasanjo and Chukwu",2017-04-19,2020-11-28,1319,WARB61028618495568,"98959 Uche Locks Apt. 549
East Agnes, AR 68412",1148646.82,46116586178,0
RC767482,"Adeyemi, Adetokunbo and Balogun",2017-02-03,2019-11-14,1014,JPLH01167333609585,"95003 Ojo Union Apt. 234
Benjaminborough, RI 80685",4058558.68,67372417740,0
RC437107,Obasanjo LLC,2018-03-04,2019-11-13,619,NXDG08596564383165,"9609 Deborah Falls
Estherport, WA 20882",3287981.18,83104809634,0
RC151546,Ibrahim-Ogunleye,2018-10-28,2026-02-21,2673,TFYX34944692831250,"USNS Chukwu
FPO AP 07066",3328815.28,94208310365,0
RC775526,"Balogun, Nnamani and Obi",2020-01-09,2024-05-31,1604,MUPU24636571721807,"47364 Ruth Passage
West Emmanueltown, VA 31099",4777456.59,06784174775,0
RC288893,"Obi, Adeyemi and Eze",2024-08-23,2025-01-29,159,QNBL84540959339570,"459 Nnamani Street
Olawaleville, SC 06402",3800085.37,10843708575,0
RC372141,Oshodi-Uche,2026-02-26,2026-05-02,65,DUON49151363994935,"44432 Akinwale Unions
Nnamanibury, VT 57018",992712.88,07292207020,0
RC528412,"Oyekan, Uche and Adeyemi",2024-09-26,2025-12-23,453,WSPA21692930514721,"62547 Obasanjo Dale
Josephshire, TX 39637",2742864.38,77643696453,0
RC775128,"Ekwueme, Ogunleye and Ibrahim",2016-11-03,2020-10-08,1435,VJSG04201914308153,"9805 Faith Highway
Port Cornelius, KS 46130",4790006.89,42757419715,0
RC738089,Balogun-Ojo,2017-01-01,2019-03-31,819,ICND57723502743624,"64400 Eze Creek Suite 277
Paulmouth, MH 63014",3463550.59,99289257737,0
RC169408,Obasanjo and Sons,2021-01-30,2023-11-14,1018,KJHN54383188683622,"623 Gabriel Neck Suite 954
Graceburgh, FM 68376",4584151.03,03492686644,0
RC375407,Adetokunbo Inc,2020-12-06,2020-12-10,4,KVNP18408228658888,"2309 Obi Manors
Akinwaleside, IL 97775",4564866.9,78734139815,0
RC479805,"Eze, Adeyemi and Ojo",2019-02-27,2022-08-16,1266,DIRJ80547289055241,"25477 Ibrahim Mission
Abiolamouth, UT 62153",4548738.65,82013502020,0
RC418528,Ibrahim-Oyekan,2021-12-31,2023-09-03,611,ILCN09797540565281,"60126 Esther Extensions
West Daniel, ND 20573",674432.16,67112228949,0
RC124029,Uche-Adeyemi,2025-10-29,2026-01-05,68,OMXM51627219300667,"3194 Agnes Dale Apt. 088
Okaforberg, MS 91112",3820542.94,92884302318,0
RC587286,"Okafor, Uche and Adeyemi",2020-11-22,2021-04-11,140,IKIO31950271185024,"2961 Balogun Port Apt. 135
North James, MI 99862",166295.89,89095913525,0
RC108082,"Eze, Uche and Ojo",2020-10-24,2024-08-10,1386,UFZI46753929969664,"7769 Blessing Oval
Port Michael, TX 95497",3323583.58,84113755331,0
RC561314,Olawale-Akinwale,2020-03-12,2020-12-27,290,AWEL48858278521310,"88401 Patience Harbors Suite 650
South Joyborough, AS 54382",2437274.24,25464105093,0
RC374175,Oyekan Inc,2021-02-19,2023-06-12,843,MPGR39878243835726,"70034 Akinwale Ports Apt. 925
North Deborahside, FL 88075",735275.09,01529773894,0
RC588909,"Adeyemi, Ibrahim and Okafor",2021-06-30,2023-02-08,588,GGXV76716875668117,"Unit 2818 Box 8601
DPO AE 72071",4975634.76,61118925605,0
RC282481,Akinwale Ltd,2023-11-17,2024-02-21,96,XBBR12784702900746,"273 Nnamani Cove Apt. 389
East Josephchester, NE 41368",3670750.06,36108663101,0
RC566420,Ekwueme Ltd,2023-08-17,2025-12-10,846,UGMR90871650413125,"4539 Joy Creek
Peacemouth, FM 68467",254341.32,92317081510,0
RC423400,Eze-Ibrahim,2017-08-09,2018-12-06,484,WNIQ48527277590635,"329 Chukwu Meadows
Simonburgh, TN 25259",225657.63,22679043286,0
RC355407,Uche LLC,2021-01-09,2022-09-29,628,LUAS67774612723528,"132 Adetokunbo Haven
New Sarah, IA 01035",1559215.74,79219690232,0
RC359879,Adeyemi-Uche,2026-03-03,2026-03-15,12,THWM61431265983730,"1455 Ekwueme Forest
Stephenville, WY 57990",3806803.58,71261280715,0
RC840954,Uche-Ekwueme,2022-01-04,2025-03-29,1180,AQOQ95733113361587,"652 Hope Hill
Stephenshire, MI 74671",3943984.93,35069788466,0
RC783588,"Olawale, Ojo and Oyekan",2018-05-21,2024-08-31,2294,SVCQ58082203905865,"2364 Oyekan Pike
Adetokunboburgh, MT 48863",1068716.7,16998798446,0
RC208068,Akinwale-Okafor,2020-11-04,2022-03-15,496,FXXZ91358147997602,"55483 Angela Divide
Lake Peterbury, ME 10867",404054.23,43764205910,0
RC197904,"Akinwale, Ekwueme and Obasanjo",2017-07-03,2020-06-13,1076,TNBG66380599780220,"050 Okafor Fork Apt. 331
Abiolaside, FM 89468",1077480.14,98241141122,0
RC224564,Chukwu PLC,2025-01-26,2025-03-30,63,DHYP49463374068053,"07889 Faith Stream Apt. 560
Ogunleyeport, NE 77410",333342.37,76297752162,0
RC576576,Okonkwo Inc,2020-08-12,2025-08-17,1831,TPCV05318430395414,"23172 Okonkwo Oval Apt. 540
Port Victoria, DC 44359",237315.19,98683871581,0
RC756068,Nnamani and Sons,2025-07-26,2025-09-20,56,GCWE54102748083190,"8151 Hope Junctions Apt. 127
Danielshire, PA 50775",4205622.26,72518202644,0
RC246163,Oyekan Inc,2024-06-01,2024-10-07,128,ZMLO43534253648328,"05749 Obi Pine
Andrewport, KY 65773",3521163.59,07366123243,0
RC332196,Akinwale-Abiola,2026-03-30,2026-04-22,23,BGOK15370421725258,"USNS Akinwale
FPO AP 84282",3016822.8,93350396954,0
RC554038,Chukwu-Adeyemi,2026-03-23,2026-03-26,3,WHIK22687775594683,"120 Nnamani Parks
Port Peace, SC 30828",3844452.64,07810592654,0
RC679494,Okafor-Adetokunbo,2016-09-02,2017-12-22,476,IYGS41952232507784,"46797 Obi Crescent Apt. 597
North Danielton, MA 55234",1819106.3,49819670837,0
RC540282,Abiola-Adeyemi,2024-07-31,2026-01-14,532,NEWU80472287529516,"Unit 4738 Box 6879
DPO AE 21657",1085665.75,31995382098,0
RC742396,Abiola Inc,2022-02-07,2025-07-16,1255,EZWZ74458655247101,"51716 Deborah Union
Akinwaleport, NE 49968",4874409.91,10883367547,0
RC169999,"Uche, Ojo and Abiola",2022-04-16,2025-12-22,1346,HGSW42487177216694,"3234 Angela Roads Suite 093
East Charity, NM 98966",2853947.3,30913879104,0
RC909685,Adetokunbo-Ekwueme,2019-08-09,2025-03-24,2054,MCPH34214224918719,"7910 Adeyemi Brook
Markburgh, ME 16365",4819735.07,08253662077,0
RC873345,Ojo-Uche,2021-02-10,2026-02-10,1826,DSUZ35309956053625,"2645 Obi Squares Apt. 867
Obiburgh, OK 50055",2438384.47,33260929842,0
RC767911,Ojo-Eze,2020-06-11,2020-11-02,144,ICWR47516285284782,"05281 Ibrahim Squares
New Simon, VI 11816",3624005.95,44405156771,0
RC769366,"Abiola, Ibrahim and Ojo",2022-05-28,2023-06-28,396,OQAG60419357119313,"1753 Agnes Harbors
North Sarah, IL 39190",1319920.96,65012194559,0
RC779822,"Balogun, Oyekan and Adetokunbo",2022-08-01,2024-03-20,597,QRKY10447937028183,"53815 Ibrahim Flat
Jamesborough, NJ 27941",3603643.91,05420888592,0
RC602531,"Ogunleye, Uche and Nnamani",2023-11-30,2025-02-11,439,RZEX21960107629967,"PSC 2682, Box 0957
APO AP 16274",1443365.86,92138924573,0
RC112448,Olawale-Ekwueme,2020-01-12,2025-12-05,2154,XIDL77537823850710,"606 Stephen River Apt. 182
North Agnes, MP 57687",4262748.44,43313882811,0
RC261984,Balogun PLC,2024-11-10,2025-02-03,85,JKJS38844002883931,"76735 Oyekan Ports
Joytown, NM 31469",194332.27,66718539676,0
RC844925,Olawale Group,2020-06-03,2022-03-06,641,SJUD55197289734823,"USNS Chukwu
FPO AP 21597",3165117.09,54968001755,0
RC148945,"Ogunleye, Akinwale and Okonkwo",2020-04-14,2023-09-07,1241,LUNI22395541117170,"55566 Joshua Groves Suite 903
Lake Deborahburgh, ND 27167",175368.04,65611306637,0
RC473556,Eze-Olawale,2016-08-15,2019-01-15,883,QCSP35198558682144,"07526 Balogun Rapid Apt. 080
Okafortown, TN 03165",2374525.14,25604615857,0
RC212450,Okafor-Abiola,2016-11-24,2017-04-17,144,WRGE79119118084686,"PSC 1274, Box 5524
APO AP 55662",403548.07,35578259539,0
RC307970,Olawale Group,2017-08-26,2019-01-16,508,WUHO23858407433128,"794 Patience Isle Apt. 825
Obasanjofurt, HI 42247",1680472.07,01565256560,0
RC313927,"Adeyemi, Balogun and Akinwale",2018-12-24,2026-04-17,2671,EQZY75610078382504,"97723 Charity Stream Suite 602
Oyekanland, VT 44546",3128504.43,02267224735,0
RC969379,"Ekwueme, Adetokunbo and Ibrahim",2019-12-12,2020-03-17,96,DLDE03146145239883,"759 Ibrahim Island
Akinwaleton, PR 84294",3358064.29,68886092899,0
RC447888,"Ibrahim, Akinwale and Balogun",2017-01-22,2022-03-28,1891,PUJW50319073566542,"0113 Ekwueme Station Apt. 220
New Patienceville, CA 57161",2527857.92,47301516698,0
RC377541,Ekwueme PLC,2017-11-19,2024-11-07,2545,RKZS91245364083570,"0565 Obi Cove Suite 858
Chukwuborough, VA 87358",238167.88,74614413689,0
RC878909,"Akinwale, Abiola and Obasanjo",2020-06-25,2022-04-22,666,GRSL41041036993715,"23912 Gloria Crescent Suite 452
Port Ruthfort, NM 61459",4662394.84,63273764448,0
RC341189,Ekwueme Inc,2024-02-08,2025-08-22,561,HRQJ59194361733756,"403 Ojo Vista
Ibrahimland, ME 17758",2677885.14,02264675770,0
RC670357,Balogun-Balogun,2022-04-21,2025-06-29,1165,RPSK70491101056477,"8370 Blessing Coves Suite 766
Philiptown, SD 42691",495087.49,27933065108,0
RC913620,Ojo Inc,2022-03-27,2024-11-13,962,AAOA46788162602648,"50379 Adetokunbo Overpass
New Graceburgh, NV 58443",1967320.0,12917131408,0
RC208251,"Akinwale, Abiola and Olawale",2025-05-13,2026-02-24,287,NKJP36016670381819,"56529 Adetokunbo Fork
Chukwuton, NV 07763",1354101.6,90017414166,0
RC850073,Eze PLC,2019-09-21,2023-10-28,1498,LRQE78170671962768,"61883 Obasanjo Motorway
Ogunleyemouth, RI 05023",888797.87,84662897215,0
RC303656,Okonkwo-Akinwale,2016-07-03,2025-01-11,3114,XYZT42837243883150,"USCGC Adetokunbo
FPO AA 31872",4878090.88,92702867747,0
RC182472,Eze-Okafor,2017-06-20,2017-11-12,145,ITPI42980308823408,"9153 Uche Plaza Apt. 169
New Peace, NY 79267",2756948.25,01271100105,0
RC790127,Uche PLC,2019-11-20,2020-03-10,111,OQZP65009963298018,"0950 Olawale Crossroad
Lake Joytown, AL 29688",2833597.83,79758747466,0
RC391326,"Okonkwo, Ekwueme and Oyekan",2016-10-24,2019-12-04,1136,POHU24016737787252,"Unit 0624 Box 1972
DPO AP 27468",2858288.28,06973648915,0
RC178205,Okafor-Akinwale,2017-02-14,2021-08-21,1649,ZEAO46749822593455,"380 Eze Lakes
Philiptown, MN 98565",3686494.28,83116501553,0
RC890079,Ekwueme-Oshodi,2022-05-06,2022-08-20,106,ZPQO00545007270989,"9712 Cornelius Row
East Benjaminshire, FM 49538",3138630.16,71152866907,0
RC563654,"Obasanjo, Obi and Abiola",2019-03-16,2025-02-06,2154,MYWF50477063299051,"85822 Chukwu Groves Suite 389
North Joshua, NM 43474",3845874.26,16833091258,0
RC948589,Olawale Group,2019-02-28,2025-05-12,2265,WEMA28068319409326,"9256 Adeyemi Mission
North Andrewfort, UT 58355",2013327.85,76829087950,0
RC902686,"Okonkwo, Adetokunbo and Oyekan",2018-05-22,2020-01-26,614,LNXD15347952545797,"862 Angela Spurs Suite 839
Port Samuel, KS 64689",3868868.26,90757274910,0
RC941860,Balogun PLC,2025-10-28,2026-02-18,113,XPIA41849405769855,"254 Ekwueme Freeway
Abiolafurt, OK 77315",3454670.31,61478282400,0
RC971954,Ibrahim Inc,2020-05-28,2022-07-07,770,KKAJ82130730027194,"PSC 6764, Box 2009
APO AP 83978",2508520.67,99946380930,0
RC887529,"Uche, Obasanjo and Obi",2016-07-08,2017-02-01,208,GCJV04575253895120,"USCGC Oshodi
FPO AE 38372",4108247.53,03707944479,0
RC860705,"Olawale, Abiola and Ojo",2017-02-23,2018-02-03,345,FMHS97287523439339,"43199 Charity Knolls Suite 609
Port Victoriafort, WA 66490",1034694.24,50052216884,0
RC524600,"Ibrahim, Ojo and Olawale",2018-04-23,2020-07-07,806,GKDE15116200399502,"871 Eze Ports
New Andrew, LA 71696",807095.88,34008763064,0
RC525544,Oshodi LLC,2017-12-02,2025-01-16,2602,UFNE54477537190887,"94005 Patience Divide Apt. 259
Chukwuchester, ID 55857",53034.07,97553649274,0
RC967661,Balogun-Balogun,2018-04-18,2025-11-22,2775,DUVY92385115288616,"50794 Blessing Knolls Apt. 660
Uchehaven, NV 14180",2761183.85,74755206572,0
RC121239,"Okonkwo, Oyekan and Eze",2026-03-18,2026-04-05,18,SDXS30903462658162,"720 Blessing Lodge
Simontown, KY 39128",4321611.2,99221425533,0
RC984922,Adetokunbo PLC,2021-06-20,2023-10-08,840,YTJF80547607400968,"00404 Philip Court
North Nathanielfort, NY 72188",3532934.62,48955039986,0
RC516741,Okonkwo-Oshodi,2017-06-03,2024-04-11,2504,RDXR22044675472826,"071 Juliet Drive
West Benjaminfurt, PR 77244",3681200.32,98525539033,0
RC330186,Obi-Abiola,2017-06-11,2023-06-06,2186,NJAQ59959598343502,"86724 Okafor Burg
Olawaleshire, ND 92148",4614748.71,09647389254,0
